ts,event,symbol,detail
1755209489316,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209489336,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209490122,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209490122,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209490923,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209490923,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209491723,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209491723,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209492522,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209492523,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209493325,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209493325,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209494124,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209494126,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209494924,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209494924,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209495726,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209495726,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209496527,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209496527,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209497324,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209497326,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209498125,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209498129,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209498925,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209498929,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209499729,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209499729,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209500532,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209500534,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209501334,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209501334,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209502134,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209502134,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209502932,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209502934,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209503736,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209503736,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
